Profile: <cProfile.Profile object at 0x000001D079380980>
         233895 function calls (224082 primitive calls) in 17.917 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      268    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD3B5B8F90}
       33    0.000    0.000    0.003    0.000 typing_extensions.py:626(__instancecheck__)
        3    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
      383    0.000    0.000    0.000    0.000 _util.py:127(bytesify)
      143    0.000    0.000    0.000    0.000 _models.py:274(<listcomp>)
      466    0.000    0.000    0.000    0.000 _policybase.py:305(header_store_parse)
       21    0.000    0.000    0.004    0.000 request.py:374(_parse)
       11    0.000    0.000    0.006    0.001 http11.py:159(_send_request_body)
       11    0.000    0.000   14.226    1.293 connection.py:67(handle_request)
       10    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
      121    0.000    0.000    0.004    0.000 fields.py:532(get_default)
       77    0.000    0.000    0.004    0.000 _models.py:168(get)
      315    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
        2    0.000    0.000    0.016    0.008 type_adapter.py:152(__init__)
       21    0.000    0.000    0.001    0.000 _utils.py:7(is_socket_readable)
       33    0.000    0.000    0.001    0.000 queue.py:122(put)
      192    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       11    0.000    0.000   14.735    1.340 _utils.py:243(wrapper)
      396    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       11    0.000    0.000    0.004    0.000 _models.py:200(update)
       11    0.000    0.000    0.000    0.000 _models.py:186(<listcomp>)
        1    0.000    0.000    0.001    0.001 inspect.py:2333(_signature_from_function)
       10    0.000    0.000    0.001    0.000 _core_utils.py:77(get_type_ref)
        4    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       21    0.000    0.000    0.005    0.000 request.py:343(full_url)
       21    0.000    0.000    0.001    0.000 _models.py:230(__setitem__)
       27    0.000    0.000    0.015    0.001 http11.py:205(_receive_response_body)
       11    0.000    0.000    0.002    0.000 _events.py:137(__init__)
      182    0.000    0.000    0.000    0.000 typing.py:1694(_value_and_type_iter)
       82    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
       55    0.000    0.000    0.001    0.000 __init__.py:218(finditer)
       79    0.000    0.000    0.001    0.000 <frozen _collections_abc>:771(get)
       38    0.000    0.000    0.000    0.000 parse.py:917(quote_from_bytes)
       11    0.000    0.000    0.003    0.000 connection_pool.py:369(close)
       36    0.000    0.000    0.001    0.000 queue.py:154(get)
        4    0.000    0.000    0.190    0.047 ssl.py:1018(_create)
       11    0.000    0.000   14.293    1.299 _client.py:881(send)
       33    0.000    0.000    0.000    0.000 _models.py:287(origin)
       11    0.000    0.000    0.010    0.001 _base_client.py:425(_prepare_url)
      223    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
      640    0.000    0.000    0.000    0.000 typing.py:2256(cast)
    49/13    0.000    0.000    0.001    0.000 _core_utils.py:199(_walk)
       11    0.000    0.000   14.424    1.311 _base_client.py:1226(post)
