Profile: <cProfile.Profile object at 0x000001D0792CD780>
         53760 function calls (53536 primitive calls) in 4.484 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.001    0.000 events.py:103(__init__)
       77    0.000    0.000    0.000    0.000 cookies.py:309(__setitem__)
       79    0.000    0.000    0.000    0.000 sslproto.py:845(_get_write_buffer_size)
       22    0.000    0.000    0.004    0.000 connector.py:913(_resolve_host_with_throttle)
       78    0.000    0.000    0.000    0.000 base_futures.py:14(isfuture)
      497    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       55    0.000    0.000    0.000    0.000 _collections.py:302(add)
       22    0.000    0.000    0.001    0.000 connector.py:390(_drop_acquired_per_host)
        3    0.000    0.000    0.325    0.108 connection.py:614(connect)
       24    0.000    0.000    0.131    0.005 proactor_events.py:251(_data_received)
       24    0.000    0.000    0.000    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    2.755    0.918 connectionpool.py:380(_make_request)
       11    0.000    0.000    0.001    0.000 client_reqrep.py:371(connection_key)
       81    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       44    0.000    0.000    0.000    0.000 sslproto.py:490(_set_state)
        1    0.000    0.000    0.002    0.002 ElementTree.py:1325(XML)
        2    0.000    0.000    0.001    0.000 _parser.py:449(_parse_sub)
        6    0.000    0.000    0.004    0.001 cookiejar.py:1599(make_cookies)
      388    0.000    0.000    0.000    0.000 ssl.py:1146(_checkClosed)
        3    0.000    0.000    0.187    0.062 connection.py:732(_ssl_wrap_socket_and_match_hostname)
       11    0.000    0.000    0.000    0.000 tasks.py:841(shield)
       87    0.000    0.000    0.545    0.006 models.py:816(generate)
       11    0.000    0.000    0.002    0.000 client_reqrep.py:621(write_bytes)
       87    0.000    0.000    0.545    0.006 response.py:1021(stream)
        3    0.000    0.000    0.023    0.008 socket.py:945(getaddrinfo)
       11    0.000    0.000    0.000    0.000 payload.py:219(__init__)
       11    0.000    0.000    0.000    0.000 client_reqrep.py:805(__init__)
        1    0.000    0.000    0.000    0.000 {method '_accept' of '_socket.socket' objects}
        3    0.000    0.000    0.137    0.046 connection.py:27(create_connection)
       11    0.000    0.000    0.000    0.000 _url.py:55(_normalize_path_segments)
       22    0.000    0.000    0.016    0.001 base_events.py:987(create_connection)
        3    0.000    0.000    0.009    0.003 sessions.py:457(prepare_request)
       34    0.000    0.000    0.000    0.000 events.py:64(cancel)
        3    0.000    0.000    0.001    0.000 _collections.py:337(extend)
       36    0.000    0.000    0.001    0.000 tasks.py:652(_ensure_future)
       79    0.000    0.000    0.000    0.000 {method 'read' of '_ssl.MemoryBIO' objects}
       66    0.000    0.000    0.001    0.000 _url.py:489(raw_host)
      4/2    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        6    0.000    0.000    0.008    0.001 cookiejar.py:1680(extract_cookies)
    45/25    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
        8    0.000    0.000    0.002    0.000 cookiejar.py:1578(_cookies_from_attrs_set)
        8    0.000    0.000    0.000    0.000 cookiejar.py:150(_str2time)
       64    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       21    0.000    0.000    0.002    0.000 sessions.py:61(merge_setting)
       82    0.000    0.000    0.001    0.000 coroutines.py:34(iscoroutine)
      227    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       33    0.000    0.000    0.001    0.000 _url.py:41(__get__)
       77    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
       21    0.000    0.000    0.001    0.000 connection.py:310(putheader)
       11    0.000    0.000    0.011    0.001 sslproto.py:530(_start_handshake)
       22    0.000    0.000    0.113    0.005 ssl.py:977(do_handshake)
      186    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       11    0.000    0.000    0.000    0.000 payload.py:138(__init__)
       69    0.000    0.000    0.001    0.000 parse.py:175(port)
       11    0.000    0.000    0.000    0.000 cookies.py:289(__init__)
       37    0.000    0.000    0.001    0.000 socket.py:521(type)
       66    0.000    0.000    0.000    0.000 threading.py:359(notify)
       10    0.000    0.000    0.001    0.000 cookiejar.py:1015(set_ok_domain)
       10    0.000    0.000    0.000    0.000 cookiejar.py:761(__init__)
       45    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
       22    0.000    0.000    0.000    0.000 client_proto.py:51(should_close)
       49    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        1    0.000    0.000    0.002    0.002 proactor_events.py:684(close)
       22    0.000    0.000    0.000    0.000 timeouts.py:125(timeout)
       11    0.000    0.000    0.014    0.001 proactor_events.py:649(_make_ssl_transport)
       24    0.000    0.000    0.001    0.000 parse.py:841(quote)
       11    0.000    0.000    0.002    0.000 client_reqrep.py:1039(_response_eof)
       14    0.000    0.000    0.000    0.000 cookies.py:349(set_cookie)
       11    0.000    0.000    0.237    0.022 connector.py:994(_get_ssl_context)
       11    0.000    0.000    0.001    0.000 compression_utils.py:92(__init__)
        3    0.000    0.000    0.002    0.001 utils.py:204(get_netrc_auth)
       21    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
      122    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       11    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
       13    0.000    0.000    0.001    0.000 http_parser.py:955(feed_data)
      147    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       11    0.000    0.000    0.001    0.000 proactor_events.py:50(__init__)
       11    0.000    0.000    0.000    0.000 streams.py:109(__init__)
       92    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       46    0.000    0.000    0.001    0.000 {built-in method builtins.any}
       11    0.000    0.000    0.001    0.000 http_parser.py:931(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method today}
       22    0.000    0.000    0.000    0.000 streams.py:500(_read_nowait)
       22    0.000    0.000    0.000    0.000 helpers.py:689(__enter__)
        2    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
       11    0.000    0.000    0.000    0.000 connector.py:1232(_convert_hosts_to_addr_infos)
