Profile: <cProfile.Profile object at 0x000001BA0CDE2270>
         242367 function calls (233358 primitive calls) in 25.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _transcripts.py:133(<listcomp>)
       26    0.000    0.000    0.000    0.000 parse.py:1037(unwrap)
       13    0.000    0.000    0.001    0.000 _models.py:178(get_list)
       13    0.000    0.000    0.001    0.000 _content.py:174(encode_json)
       40    0.000    0.000    0.000    0.000 _collections.py:259(__getitem__)
       41    0.000    0.000    0.001    0.000 feedparser.py:127(__next__)
       24    0.000    0.000    0.001    0.000 _models.py:639(_validate_non_model_type)
       32    0.000    0.000    0.014    0.000 default.py:111(__iter__)
       39    0.000    0.000    0.005    0.000 _urlparse.py:124(copy_with)
       13    0.000    0.000    0.000    0.000 _base_client.py:585(default_headers)
       13    0.000    0.000    0.003    0.000 _models.py:448(__init__)
       13    0.000    0.000    0.000    0.000 _headers.py:122(<listcomp>)
       30    0.000    0.000    0.001    0.000 cookiejar.py:677(escape_path)
       13    0.000    0.000    0.002    0.000 __init__.py:299(loads)
       35    0.000    0.000    0.000    0.000 _collections.py:302(add)
       26    0.000    0.000    0.001    0.000 <frozen _collections_abc>:907(pop)
       13    0.000    0.000   22.831    1.756 _client.py:964(_send_handling_redirects)
      135    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       14    0.000    0.000    0.005    0.000 _models.py:893(close)
      292    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
        2    0.000    0.000    0.978    0.489 sessions.py:673(send)
      131    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       13    0.000    0.000    0.000    0.000 client.py:1242(putheader)
        2    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
       31    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
       15    0.000    0.000    0.001    0.000 cookiejar.py:1734(clear_expired_cookies)
       26    0.000    0.000    0.002    0.000 sync.py:171(get_extra_info)
       12    0.000    0.000    0.023    0.002 _base_client.py:549(_process_response_data)
