Profile: <cProfile.Profile object at 0x000001F095772890>
         245586 function calls (235919 primitive calls) in 19.962 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.002    0.000 _utils.py:7(is_socket_readable)
       36    0.000    0.000    0.000    0.000 _urlparse.py:422(is_safe)
       12    0.000    0.000   18.540    1.545 connection.py:67(handle_request)
       84    0.000    0.000    0.004    0.000 _models.py:168(get)
        6    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
       54    0.000    0.000    0.001    0.000 _receivebuffer.py:87(maybe_extract_next_line)
       12    0.000    0.000    0.002    0.000 _events.py:137(__init__)
       93    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
      700    0.000    0.000    0.000    0.000 typing.py:2256(cast)
       12    0.000    0.000   19.022    1.585 _utils.py:243(wrapper)
       36    0.000    0.000    0.001    0.000 inspect.py:1778(_check_class)
      198    0.000    0.000    0.000    0.000 typing.py:1694(_value_and_type_iter)
       33    0.000    0.000    0.012    0.000 http11.py:205(_receive_response_body)
      261    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
      432    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
      260    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD3C188F90}
       12    0.000    0.000    0.009    0.001 _base_client.py:425(_prepare_url)
      7/2    0.000    0.000    0.007    0.003 _generate_schema.py:735(_generate_schema_inner)
       23    0.000    0.000    0.001    0.000 _models.py:230(__setitem__)
      187    0.000    0.000    0.000    0.000 socket.py:731(readable)
       24    0.000    0.000    0.000    0.000 _events.py:337(__init__)
       12    0.000    0.000   18.404    1.534 http11.py:179(_receive_response_headers)
       36    0.000    0.000    0.016    0.000 http11.py:170(_send_event)
      203    0.000    0.000    0.000    0.000 _headers.py:117(__getitem__)
       33    0.000    0.000   18.390    0.557 ssl.py:1289(recv)
      508    0.000    0.000    0.000    0.000 _policybase.py:305(header_store_parse)
      132    0.000    0.000    0.002    0.000 typing.py:412(is_literal_type)
      6/2    0.000    0.000    0.001    0.000 _parser.py:509(_parse)
       12    0.000    0.000    0.004    0.000 cookiejar.py:1272(_cookies_for_domain)
        2    0.000    0.000    0.011    0.005 type_adapter.py:152(__init__)
       10    0.000    0.000    0.001    0.000 _core_utils.py:77(get_type_ref)
        4    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
       36    0.000    0.000    0.000    0.000 _models.py:287(origin)
       12    0.000    0.000    0.002    0.000 _models.py:631(_get_content_decoder)
       52    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       24    0.000    0.000    0.001    0.000 _models.py:254(__delitem__)
      185    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       12    0.000    0.000    0.038    0.003 _response.py:273(parse)
       12    0.000    0.000    0.004    0.000 _client.py:129(close)
        1    0.000    0.000    0.008    0.008 _transcripts.py:51(_extract_captions_json)
       36    0.000    0.000    0.000    0.000 inspect.py:1769(_check_instance)
      672    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
      126    0.000    0.000    0.001    0.000 typing.py:1371(__hash__)
       12    0.000    0.000   18.722    1.560 _base_client.py:1226(post)
       23    0.000    0.000    0.004    0.000 request.py:343(full_url)
       96    0.000    0.000    0.001    0.000 _models.py:121(raw)
       12    0.000    0.000    0.033    0.003 _base_client.py:411(_build_headers)
       60    0.000    0.000    0.001    0.000 __init__.py:218(finditer)
       26    0.000    0.000    0.008    0.000 ssl.py:1236(send)
    49/13    0.000    0.000    0.001    0.000 _core_utils.py:199(_walk)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
       16    0.000    0.000    0.000    0.000 message.py:489(get)
       12    0.000    0.000    0.001    0.000 http11.py:245(_response_closed)
       23    0.000    0.000    0.001    0.000 request.py:301(request_host)
       12    0.000    0.000   18.600    1.550 _client.py:881(send)
       48    0.000    0.000    0.000    0.000 copy.py:243(_keep_alive)
       12    0.000    0.000    0.000    0.000 _utils.py:311(<dictcomp>)
